customerid,gender,ever_married,age,graduated,profession,work_experience,spending_score,family_size,var_1,category
462809,Male,No,22,No,Healthcare,1,Low,4,0,3
466315,Female,Yes,67,Yes,Engineer,1,Low,1,1,1
461735,Male,Yes,67,Yes,Lawyer,0,High,2,1,1
461319,Male,Yes,56,No,Artist,0,Average,2,1,2
460156,Male,No,32,Yes,Healthcare,1,Low,3,1,2
464347,Female,No,33,Yes,Healthcare,1,Low,3,1,3
465015,Female,Yes,61,Yes,Engineer,0,Low,3,2,3
465176,Female,Yes,55,Yes,Artist,1,Average,4,1,2
464041,Female,No,26,Yes,Engineer,1,Low,3,1,0
464942,Male,No,19,No,Healthcare,4,Low,4,0,3
460849,Female,Yes,58,No,Doctor,0,Low,1,3,1
460563,Female,No,41,No,Healthcare,1,Low,2,4,2
466865,Female,No,32,No,Homemaker,9,Low,5,3,3
461644,Male,No,31,No,Healthcare,1,Low,6,1,1
466772,Male,Yes,58,Yes,Entertainment,1,Average,4,1,1
464291,Female,Yes,79,Yes,Artist,0,High,1,1,2
466084,Male,Yes,49,Yes,Homemaker,12,Low,1,3,0
459675,Female,No,18,No,Healthcare,3,Low,4,1,3
465602,Male,Yes,33,Yes,Artist,13,Low,2,3,0
459168,Female,No,36,Yes,Artist,5,Low,2,1,1
465083,Male,Yes,56,No,Artist,1,Average,3,1,2
467604,Male,No,31,No,Healthcare,9,Low,8,0,0
459717,Male,Yes,49,Yes,Artist,1,Average,3,1,2
465882,Male,No,35,Yes,Artist,0,Low,1,1,1
461996,Female,No,35,No,Artist,5,Low,4,1,2
463331,Female,Yes,45,Yes,Artist,0,Low,3,1,2
462216,Female,Yes,42,No,Doctor,1,Low,2,0,0
462454,Male,No,19,No,Healthcare,1,Low,3,5,3
459861,Female,Yes,83,No,Lawyer,1,High,2,1,3
467917,Female,No,27,Yes,Healthcare,3,Low,4,4,3
465572,Male,No,32,No,Doctor,5,Low,1,0,3
460593,Female,Yes,28,No,Healthcare,1,Average,5,3,3
465891,Female,Yes,28,Yes,Artist,8,Low,2,1,0
462044,Female,No,47,Yes,Artist,4,Low,1,1,1
465686,Female,No,22,No,Healthcare,0,Low,2,1,3
464590,Female,No,27,Yes,Artist,14,Low,3,1,0
466152,Male,Yes,40,No,Engineer,8,Low,1,1,0
465729,Male,Yes,41,Yes,Artist,0,Average,4,0,1
462442,Male,No,19,No,Healthcare,0,Low,4,1,3
464191,Female,No,45,Yes,Engineer,1,Low,1,1,0
462078,Female,Yes,61,No,Artist,1,Average,2,5,1
467873,Female,Yes,36,Yes,Artist,1,Average,2,1,2
461270,Male,Yes,40,Yes,Artist,1,Low,1,3,0
462960,Female,Yes,57,Yes,Entertainment,0,Average,2,1,2
464961,Male,Yes,76,No,Marketing,1,Low,1,0,0
462110,Male,Yes,32,Yes,Artist,14,Average,2,1,1
465769,Male,No,25,Yes,Healthcare,9,Low,4,1,3
465269,Female,Yes,45,Yes,Artist,1,Average,3,3,2
461891,Male,Yes,48,Yes,Artist,0,Average,2,1,2
466935,Male,Yes,55,Yes,Artist,9,Average,2,4,2
464091,Male,Yes,74,Yes,Lawyer,0,High,3,1,3
464535,Male,Yes,56,Yes,Lawyer,1,High,2,1,0
463108,Male,Yes,59,Yes,Lawyer,7,High,2,1,0
461356,Male,No,25,Yes,Entertainment,0,Low,2,1,0
464570,Male,Yes,31,Yes,Doctor,0,Average,2,1,0
464580,Male,No,27,No,Artist,8,Low,4,1,0
465233,Male,Yes,57,Yes,Artist,0,Average,4,1,1
459954,Male,Yes,27,Yes,Healthcare,8,Low,2,1,3
460219,Female,Yes,51,Yes,Entertainment,8,Average,2,1,0
460877,Female,Yes,47,No,Artist,0,Average,5,1,1
460191,Female,No,33,No,Healthcare,8,Low,4,1,3
463742,Male,Yes,56,Yes,Artist,0,Average,4,1,2
463691,Female,No,33,No,Homemaker,0,Low,3,1,1
463250,Female,No,36,Yes,Doctor,0,Low,2,1,3
463952,Male,Yes,51,No,Artist,4,Low,3,0,0
461558,Male,Yes,45,Yes,Engineer,2,Average,2,1,2
